severity,category,file,lines,issue,description,estimated_extra_requests,recommendation
HIGH,Socket + Polling Double-Fetch,features/notifications/useNotificationSocket.ts + features/notifications/useNotifications.ts,"20-22, 29-32, 112","Notifications fetched via socket AND polling simultaneously","The app maintains a real-time socket/FCM stream for notifications AND runs useQuery polling on the same data. Every socket-triggered invalidation causes a refetch on top of the live stream — 2x redundant network calls for every notification event.","2x all notification fetches","Disable polling queries when socket is connected. Let socket invalidate cache; do not poll in parallel."
HIGH,Missing staleTime — System-wide,features/notifications/useNotifications.ts,"19-22, 29-32, 80-82","Three notification queries lack staleTime — refetch on every mount","useNotifications fires 3 separate useQuery calls with no staleTime. Any component that mounts/unmounts (sidebar open, modal close, tab switch) triggers a fresh fetch. Notifications is called in headers/sidebars that mount on every page.","20-50 extra requests per session","Add staleTime: 60_000 minimum to all three queries. Ideally 5 minutes for notification preferences."
HIGH,Missing staleTime — System-wide,features/business/useMyBusiness.ts + pages/manage/@id/owner/+Layout.tsx,"30-48 (hook), 75-79 (layout)","Business full-details refetched on every sub-route navigation within /manage","useMyBusiness(id) is called inside the owner Layout. Every navigation between manage sub-pages (e.g. dashboard → schedule → orders) re-runs this query because layouts re-evaluate on route change.","10+ extra requests per staff session","Add staleTime: Infinity or at least 5 minutes. Business config rarely changes mid-session."
HIGH,Missing enabled guard,features/notifications/useNotifications.ts,"19-22, 29-32, 80-82","Three queries fire unconditionally without auth/user guard","No enabled: !!userId or equivalent guard on any of the 3 notification queries. If a page using this hook is visited while unauthenticated or during session init, all 3 queries fire immediately and fail or return stale data.","3 wasted requests per unauthenticated page load","Add enabled: !!userId to all three useQuery calls."
MEDIUM,Aggressive Polling Interval,features/profileSettings/useDataExport.ts,23-26,"Data export status polled every 10 seconds","refetchInterval dynamically returns 10_000 when status === 'pending'. This runs while user stays on the settings page — 6 requests/minute just to check if an export finished. Should be longer since exports typically take minutes not seconds.","60 requests/hour per user during export","Increase to 30_000 or use exponential back-off starting at 15s."
MEDIUM,Aggressive Polling Interval,features/reservations/useReservationDashboard.ts,35-36,"Reservation dashboard polls every 60 seconds when pollingEnabled","Staff dashboard continuously polls all reservations every minute. If pollingEnabled is not carefully gated (e.g., it stays true on background tabs), this accumulates silently.","1 request/min per open dashboard tab","Disable on visibility change (document.hidden). Consider WebSocket for live reservation updates instead."
MEDIUM,Aggressive Polling Interval,features/diner-mode/useDinerMode.ts,multiple,"Multiple 30-60s polling intervals active simultaneously in diner mode","Active reservations polled every 60s + active orders polled every 30s + dynamic order status refetch. All three may run concurrently while a customer is at the table — 3+ requests/minute per diner session.","3+ requests/min per active diner session","Replace order status polling with socket subscription (station socket already exists). Reservations can poll at 120s."
MEDIUM,Aggressive Polling Interval,features/shifts/useAttendance.ts,215,"Active shift reminder polls every 60 seconds across all employments","Global clocked-in reminder polls every 60s. For users with multiple employments this multiplies. Runs as long as the user is logged into the manage area.","1+ request/min per logged-in staff member","Increase to 5 minutes — shift state does not change that frequently. Or drive from socket events."
MEDIUM,Excessive invalidateQueries per mutation,features/orders/useOrders.ts,"61-65, 191-197","createOrder triggers 3 invalidations; quickCompleteOrder triggers 5","Every mutation fires 3-5 separate invalidateQueries calls in onSuccess — orders, floors, tables, inventory items, inventory dashboard all refetch simultaneously after a single action. Over a busy lunch shift this compounds to hundreds of extra requests.","100+ extra requests per shift","Batch using a shared prefix key or use queryClient.invalidateQueries({ queryKey: ['orders', businessId] }) with exact: false to cover sub-keys in one call. Inventory only needs invalidation on complete/cancel, not create."
MEDIUM,Layout-level query without staleTime,pages/manage/(global)/+Layout.tsx + pages/profile/+Layout.tsx,"16-18 (global layout), 17 (profile layout)","useProfile called in multiple independent layouts — not deduplicated","User profile is fetched inside at least two different layout files. If a user navigates through routes covered by different layouts, profile refetches even if nothing changed.","1-2 extra profile fetches per navigation","Add staleTime: 5 * 60 * 1000 to useProfile. TanStack will serve cached data between route changes."
MEDIUM,Duplicate query keys / cache collision,features/favorites/useFavorites.ts + features/discovery/useDiscovery.ts,"10 (favorites), 40-41 (discovery)","Both features use discovery_search and discovery_search_infinite keys without a single shared hook","If a page renders both useFavorites and useDiscovery (e.g. a page showing favorite restaurants also runs discovery search), cache invalidations from favorites actions cause discovery queries to refetch and vice versa — unintended cross-hook coupling.","2-3 duplicate fetches per favorite/unfavorite action","Namespace the keys: ['favorites', 'discovery_search'] vs ['discovery', 'search']. Or create a single shared hook that both consume."
MEDIUM,Aggressive Polling Interval,features/discovery/useDiscovery.ts,297-301,"Live reservation status polled every 30 seconds","Customer-facing reservation status refetches every 30s unless status is terminal. Fine for one tab, but if a customer has the reservation detail open alongside other tabs, this runs silently.","2 requests/min per open reservation detail","Increase to 60s. Add visibility-based pause (pause when tab is hidden)."
LOW,Aggressive Polling Interval,features/shifts/useAttendance.ts,184-216,"useMyActiveShift scans all employments every 60 seconds","Low individual impact but every staff member logged in accumulates this. On a restaurant with 20 staff all using the dashboard simultaneously: 20 requests/minute just for shift status.","1 request/min per staff member (scales with headcount)","Increase to 3-5 minutes or drive from a shift-start/end socket event."
LOW,Missing staleTime — Sidebar,components/management/BusinessOwnerManagementSidebar.tsx,253,"useMyBusinesses() called in sidebar without staleTime — refetches on every page render","Sidebar re-renders on every route change. Without staleTime the businesses list refetches each time, even though it almost never changes during a session.","1 request per navigation within manage area","Add staleTime: Infinity — business list membership changes are rare and can be invalidated explicitly on join/leave."
LOW,No Global Query Defaults,lib/flairapi.ts or main QueryClient config,N/A,"No global staleTime or gcTime defaults set in QueryClient","Without default staleTime every query refetches on every mount. This is the root cause of most missing-staleTime findings above. A single config change would fix dozens of cases at once.","Systemic — underlies most HIGH findings","Set QueryClient defaults: staleTime: 5 * 60 * 1000, gcTime: 10 * 60 * 1000, refetchOnWindowFocus: false."
LOW,refetchOnWindowFocus not disabled,Multiple useQuery calls across features,various,"refetchOnWindowFocus is true by default — triggers refetches every time user alt-tabs back","No global override and most queries don't set refetchOnWindowFocus: false. Every time a staff member switches browser tabs (very common in restaurant ops) all active queries refetch.","1-5 extra requests per tab switch across all active queries","Set refetchOnWindowFocus: false globally in QueryClient config. Enable it explicitly only on queries where freshness truly matters on focus (e.g. live orders)."
